CHN,23300783
USA,19390604
IND,9448659
JPN,5487161
GER,4187583
RUS,3817201
IDN,3242769
BRA,3240524
FRA,2876060
GBR,2856703
ITA,2387357
MEX,2358276
TUR,2140142
KOR,1972971
SAU,1773549
ESP,1769637
CAN,1714447
IRN,1700356
THA,1233736
AUS,1192066
EGY,1129919
NGA,1118755
POL,1102293
PAK,1088982
MYS,930749
ARG,920248
NLD,899531
PHL,875311
RSA,765567
COL,714003
ARE,694468
IRQ,6582
VNM,647368
BGD,637078
ALG,63115
CHE,547854
BEL,544042
SGP,527021
ROU,506133
SWE,505483
KAZ,476366
AUT,461583
HKG,454886
CHL,444778
PER,432115
CZE,384754
UKR,368217
IRL,364141
QAT,338817
ISR,333351
MMR,327629
PRT,32603
NOR,324404
MAR,29823
KWT,297594
GRC,297008
DNK,296351
HUN,274927
LKA,274718
FIN,247269
UZB,222338
ETH,199336
SDN,198758
NZL,197072
OMN,193218
ECU,193138
AGO,19029
BLR,179204
DOM,172591
SVK,17199
AZE,171588
TZA,163886
KEN,163309
BGR,14385
GTM,137849
TUN,137359
GHA,133826
PRI,128746
LBY,125142
SRB,105966
HRV,104233
TKM,103604
PAN,100194
CIV,96046
LTU,90749
LBN,89263
CMR,88859
JOR,88809
CRI,83615
BOL,83546
UGA,79889
NPL,78591
URY,77993
COD,72166
SVN,72064
MAC,71672
BHR,70938
AFG,70368
ZMB,69236
PRY,66007
KHM,6405
LUX,6219
LVA,53561
SLV,51061
LAO,48167
HND,46198
BIH,45156
YEM,44002
TTO,43234
SEN,42992
EST,41756
MLI,41004
MNG,39982
BWA,3977
GEO,39768
MDG,39764
MOZ,37005
GAB,36823
NIC,36324
BFA,35887
PNG,34633
ALB,34541
ZWE,34476
BRN,33797
MKD,31729
GNQ,3146
CYP,29606
GIN,29069
TCD,28924
TJK,28373
ARM,28271
COG,28193
MUS,28174
NAM,26543
JAM,25999
BEN,25327
RWA,24852
KGZ,23104
PSE,22887
MWI,22387
NER,21834
SSD,20707
MDA,20226
HTI,1993
KVX,19688
MLT,18395
ISL,1814
MRT,17458
TGO,1224
BHS,12031
MNE,11681
SWZ,11617
SLE,11535
TLS,935
FJI,8652
SUR,8515
BDI,8376
BTN,7721
MDV,7273
LSO,6991
GUY,6349
BRB,5326
LBR,3911
CPV,3733
GMB,3602
CAF,3382
BLZ,3219
GNB,3165
SYC,2776
LCA,2543
ATG,2407
SMR,2085
GRD,1609
KNA,1498
SLB,1481
WSM,1299
VCT,1294
COM,1263
VUT,886
DMA,785
STP,685
TON,643
FSM,382
PLW,316
KIR,253
MHL,223
NRU,193
TUV,44
