ABW,105264
AFG,35530081
AGO,29784193
ALB,2873457
AND,76965
ARE,9400145
ARG,44271041
ARM,2930450
ASM,55641
ATG,102012
AUS,24598933
AUT,8809212
AZE,9862429
BDI,10864245
BEL,11372068
BEN,11175692
BFA,19193382
BGD,164669751
BGR,7075991
BHR,1492584
BHS,395361
BIH,3507017
BLR,9507875
BLZ,374681
BMU,65441
BOL,11051600
BRA,209288278
BRB,285719
BRN,428697
BTN,807610
BWA,2291661
CAF,4659080
CAN,36708083
CEB,102727102
CHE,8466017
CHI,165314
CHL,18054726
CHN,1386395000
CIV,24294750
CMR,24053727
COD,81339988
COG,5260750
COL,49065615
COM,813912
CPV,546388
CRI,4905769
CSS,7284294
CUB,11484636
CUW,161014
CYM,61559
CYP,1179551
CZE,10591323
GER,82695000
DJI,956985
DMA,73925
DNK,5769603
DOM,10766998
DZA,41318142
ECU,16624858
EGY,97553151
ERI,
ESP,46572028
EST,1315480
ETH,104957438
EUU,512461290
FIN,5511303
FJI,905502
FRA,67118648
FRO,49290
FSM,105544
GAB,2025137
GBR,66022273
GEO,3717100
GHA,28833629
GIB,34571
GIN,12717176
GMB,2100568
GNB,1861283
GNQ,1267689
GRC,10760421
GRD,107825
GRL,56171
GTM,16913503
GUM,164229
GUY,777859
HKG,7391700
HND,9265067
HRV,4125700
HTI,10981229
HUN,9781127
IDN,263991379
IMN,84287
IND,1339180127
IRL,4813608
IRN,81162788
IRQ,38274618
ISL,341284
ISR,8712400
ITA,60551416
JAM,2890299
JOR,9702353
JPN,126785797
KAZ,18037646
KEN,49699862
KGZ,6201500
KHM,16005373
KIR,116398
KNA,55345
KOR,51466201
KWT,4136528
LAO,6858160
LBN,6082357
LBR,4731906
LBY,6374616
LCA,178844
LIE,37922
LKA,21444000
LSO,2233339
LTU,2827721
LUX,599449
LVA,1940740
MAC,622567
MAF,32125
MAR,35739580
MCO,38695
MDA,3549750
MDG,25570895
MDV,436330
MEX,129163276
MHL,53127
MKD,2083160
MLI,18541980
MLT,465292
MMR,53370609
MNE,622471
MNG,3075647
MNP,55144
MOZ,29668834
MRT,4420184
MUS,1264613
MWI,18622104
MYS,31624264
NAC,362492702
NAM,2533794
NCL,280460
NER,21477348
NGA,190886311
NIC,6217581
NLD,17132854
NOR,5282223
NPL,29304998
NRU,13649
NZL,4793900
OMN,4636262
PAK,197015955
PAN,4098587
PER,32165485
PHL,104918090
PLW,21729
PNG,8251162
POL,37975841
PRI,3337177
PRK,25490965
PRT,10293718
PRY,6811297
PSE,4684777
PSS,2419188
PYF,283007
QAT,2639211
ROU,19586539
RUS,144495044
RWA,12208407
SAS,1788388852
SAU,32938213
SDN,40533330
SEN,15850567
SGP,5612253
SLB,611343
SLE,7557212
SLV,6377853
SMR,33400
SOM,14742523
SRB,7022268
SSD,12575714
STP,204327
SUR,563402
SVK,5439892
SVN,2066748
SWE,10067744
SWZ,1367254
SXM,41109
SYC,95843
SYR,18269868
TCA,35446
TCD,14899994
TGO,7797694
THA,69037513
TJK,8921343
TKM,5758075
TLS,1296311
TON,108020
TTO,1369125
TUN,11532127
TUR,80745020
TUV,11192
TZA,57310019
UGA,42862958
UKR,44831159
URY,3456750
USA,325719178
UZB,32387200
VCT,109897
VEN,31977065
VGB,31196
VIR,107268
VNM,95540800
VUT,276244
WSM,196440
KVX,1830700
YEM,28250420
RSA,56717156
ZMB,17094130
ZWE,16529904
